new_pos;length;label
-1.8914767183636696,-1.158862497705145,-0.5045162961312477,0.1858031275375147,-0.5607350125852162,0.2701835198802812,0.9557038829305341,1.6270124816478568,0.900720078002297,0.17616743478679303;10;1.35
-1.6040137440295792,-0.8682529691312973,-0.1746901499829665,0.421049103549525,-0.27037702916787476,-0.9330463119092561,-0.2500898902958945,0.5312516587817401,1.2412632529104999,1.9069060792751016;10;1.6
-1.780452160746601,-1.2657729346598934,-0.9438719990269211,-0.41437196474903737,0.10293173975485409,0.5789216750202707,0.5525746657034509,0.7900118814105881,1.020105057045354,1.3599240402479347;10;1.8
-0.8798259489795341,-0.3771770452540244,1.277893733964006,0.24888862101008466,1.190973752616625,-0.7212620183860557,1.089730638115829,0.405253632308849,-0.22228935819900306,-2.012186007196777;10;0.75
1.001179743297894,1.777269071727928,0.7729470683518074,0.5110564862501625,0.24784824966242294,-0.5254788036982291,-0.10331224055604914,-1.0738698842383938,-1.5025769985357111,-1.1050626922618314;10;0.7
0.8652463226742874,1.6053436718743856,-0.22041042287166132,-1.2797573920038625,-0.4905081042754886,-0.28858392462401017,1.6028630819133733,-0.0915254680658116,-1.4156459185350536,-0.28702184608615905;10;0.45
1.2796052582218327,1.3799946695583303,1.1215721753512267,-0.26817663115079066,-1.69340230680209,-1.109795897844913,0.08664512306110642,-0.6887209174079757,-0.5741866440990451,0.4664651711123174;10;1.8
-0.39241579515480157,1.1895955777493379,-0.3226191417300053,1.500004502624421,0.48179041985072335,-1.0439446042462859,-0.6018793618570936,-1.153747462177132,1.3968717211155437,-1.0536558561747078;10;1.15
1.179696520760627,0.7984563414957543,1.2240467728698317,0.8264528684329727,0.35137042166210086,-0.042105232245306885,-0.446209947837753,-0.842507796417639,-1.293838353090403,-1.7553615956301867;10;1.75
2.6505339953919402,0.6607343432482208,-0.3662154191872695,-0.09790650521545348,0.013808946405634947,-0.6193349374583912,-0.09055050710683828,-0.23739234461784897,-0.7170489248334554,-1.1966286466265403;10;0.85
-1.9687437550941824,-0.9289893251990556,-1.1119529710645275,-0.5745264263627714,0.40835398476848067,1.0053917586820202,0.8119483390625721,0.8063139977994963,0.7382230707227528,0.8139813266852148;10;0.6
-0.5230583461443603,-0.968467321422242,-1.4206785348599318,-0.8799546082158722,-0.48413975458856406,-0.048798977530242905,0.41864170514680343,0.7919963291458725,1.326348093919976,1.788111414548561;10;1.95
-0.6776051273344207,-0.7437946047002268,-1.2013924601755785,-0.7817624798320575,-0.5453398890466303,0.007074266173397678,0.7320103697759179,-0.08223579866448952,1.0672984486613275,2.2257472751427594;10;1.3
-0.5799355926204147,0.8839345307826678,0.6171550659711027,1.8135378874797745,-2.1056124845018034,-0.22889634059842479,-0.6495268113439858,-0.328119734165663,0.4117302474228211,0.165733231573925;10;0.65
1.9341658250186795,1.2846250691015582,0.7593250612701877,0.07853289365315373,-0.6810542782840538,0.09944780913328306,-0.47755260320125675,-0.9055220593865433,-1.443528245113677,-0.648439472191334;10;1.25
1.4726001337742778,1.025713593208564,0.5816740831135503,0.7156732069034754,0.623739054168452,-0.02751895782506799,-0.6394346245753073,-0.7372610525629556,-1.6506273045695528,-1.3645581316354323;10;1.45
1.5158885715164727,1.8475021907350018,0.14931649919906773,0.09441694958304515,-0.13292210292713155,-0.24793117369922016,-0.04265621267201622,-0.517467561410599,-0.911940112904142,-1.7542070474204774;10;1.95
-0.8014892888503563,-1.4825049575549916,-0.6444265226442368,0.8143030727055318,0.6870527988787245,0.7821318270537021,0.6193730128713117,-1.3771735129503415,-0.2296505726230827,1.6323841431137391;10;1.15
-2.0975509432021457,-0.6067910273093351,-0.9952374506724512,0.21819383304991574,-0.19978373480347356,0.8435130311985364,0.4091782043995969,0.744910672669689,1.648949257352687,0.03461815731697918;10;0.45
0.04064873263720656,-0.8953970784908767,-0.9215605609112858,-0.8501218450859197,1.9622120797314504,-1.3188488013991797,-0.17368596615798504,1.0865891423665501,0.18045295084282198,0.8897113464672177;10;1.65
-0.7320507649666715,-0.8685874551228441,-1.5797004107344939,-0.4538299978619535,0.16540107335849247,0.2747720895336937,-0.525814936865929,0.4847267536144351,1.3337630746442952,1.901320574400976;10;1.5
0.6717554541873065,-0.006350254959957439,-1.7364539408293038,-0.8787325822033933,-1.0668493436842925,0.748492830265266,1.7924920000551243,0.8641404467004608,-0.07672774766280849,-0.3117668618684029;10;0.85
-0.5944550582207773,-1.0362786807482363,-0.7072017428566941,0.011353534288465847,-0.8491123457242217,-0.6364448205097392,2.0412713339346538,-0.1128293304894628,0.2373075101415924,1.64638960018442;10;0.75
1.4217003006673379,1.1830738128401663,-0.12949160647278848,-0.4899456769786646,0.5983441085759805,0.5741986316957238,0.29908521825073636,-0.6183379779186903,-0.6663608446737057,-2.1722659659860946;10;1.5
-1.0239877565560118,-1.9963074819916837,0.8541266740444705,-0.10185006469627264,-0.05816242591761228,0.23979278545531138,1.9271746561318952,0.5840220535784236,-0.11215145607684646,-0.3126569839716747;10;2.0
0.8472150673378549,0.4700764084833302,-1.0224796935574154,-2.5623802380150495,-0.15035578472050712,0.6952858299750636,0.7441774865061133,0.45387973707429086,0.10969851206086055,0.4148826748554571;10;1.1
-1.09164746735734,-0.12887289452230755,-0.10700200647596586,-0.27324545560910934,-0.8358046926716661,0.9634200990807058,-0.5312454288462743,-0.1475575763013217,-0.41723799466996137,2.56919341737324;10;1.75
